0716整理,#genre#
免责声明,https://ghproxy.com/https://raw.githubusercontent.com/sun520999/m3u/master/Video/shengming.mp4

央视高清,#genre#
CCTV1 4M1080,http://[2409:8087:5c00:10:5::123]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225924/index.m3u8

CCTV1 4M1080,http://[2409:8087:5c00:10:5::96]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225654/index.m3u8

CCTV1 4M1080,http://[2409:8087:5c00:10:5::138]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225888/index.m3u8

CCTV1 8M1080,http://[2409:8087:5c00:10:5::137]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225894/index.m3u8

CCTV2 4M1080,http://[2409:8087:5c00:10:5::141]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225674/index.m3u8

CCTV2 8M1080,http://[2409:8087:5c00:10:5::149]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225657/index.m3u8

CCTV3 4M1080,http://[2409:8087:5c00:10:5::84]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225676/index.m3u8

CCTV3 8M1080,http://[2409:8087:5c00:10:5::87]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225713/index.m3u8

CCTV4 4M1080,http://[2409:8087:5c00:10:5::150]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225677/index.m3u8

CCTV4 8M1080,http://[2409:8087:5c00:10:5::144]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225761/index.m3u8

CCTV5 11M1080,http://[2409:8087:5c00:10:5::136]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225753/index.m3u8

CCTV5 4M1080,http://[2409:8087:5c00:10:5::92]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225801/index.m3u8

CCTV5 8M1080,http://[2409:8087:5c00:10:5::95]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225660/index.m3u8

CCTV5+ 4M1080,http://[2409:8087:5c00:10:5::78]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225680/index.m3u8

CCTV5+ 8M1080,http://[2409:8087:5c00:10:5::91]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225621/index.m3u8

CCTV6 4M1080,http://[2409:8087:5c00:10:5::119]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225715/index.m3u8

CCTV6 8M1080,http://[2409:8087:5c00:10:5::85]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225683/index.m3u8

CCTV7 4M1080,http://[2409:8087:5c00:10:5::118]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225700/index.m3u8

CCTV7 8M1080,http://[2409:8087:5c00:10:5::135]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225627/index.m3u8

CCTV8 4M1080,http://[2409:8087:5c00:10:5::92]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225716/index.m3u8

CCTV8 8M1080,http://[2409:8087:5c00:10:5::145]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225630/index.m3u8

CCTV9 4M1080,http://[2409:8087:5c00:10:5::87]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225663/index.m3u8

CCTV9 8M1080,http://[2409:8087:5c00:10:5::85]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225633/index.m3u8

CCTV10 4M1080,http://[2409:8087:5c00:10:5::119]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225704/index.m3u8

CCTV10 8M1080,http://[2409:8087:5c00:10:5::85]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225624/index.m3u8

CCTV11 4M1080,http://[2409:8087:5c00:10:5::72]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225739/index.m3u8

CCTV11 8M1080,http://[2409:8087:5c00:10:5::89]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225750/index.m3u8

CCTV12 4M1080,http://[2409:8087:5c00:10:5::88]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225645/index.m3u8

CCTV12 8M1080,http://[2409:8087:5c00:10:5::93]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225670/index.m3u8

CCTV13 4M1080,http://[2409:8087:5c00:10:5::74]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225742/index.m3u8

CCTV13 4M1080,http://[2409:8087:5c00:10:5::143]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225759/index.m3u8

CCTV13 4M1080,http://[2409:8087:5c00:10:5::134]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225798/index.m3u8

CCTV13 8M1080,http://[2409:8087:5c00:10:5::121]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225787/index.m3u8

CCTV14 4M1080,http://[2409:8087:5c00:10:5::96]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225648/index.m3u8

