
厦门移动,#genre#
厦门一台,http://39.135.49.136:6610/PLTV/88888888/224/3221226814/1.m3u8?servicetype=1
厦门一台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226814/3.m3u8

厦门二台,http://39.135.49.136:6610/PLTV/88888888/224/3221226777/1.m3u8?servicetype=1
厦门二台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226777/3.m3u8

厦门三台,http://39.135.49.136:6610/PLTV/88888888/224/3221226760/1.m3u8?servicetype=1
厦门三台,http://39.135.55.105:6610/PLTV/88888888/224/3221226760/index.m3u8?servicetype=1
厦门三台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226760/3.m3u8

厦门卫视,http://39.135.49.136:6610/PLTV/88888888/224/3221226781/1.m3u8?servicetype=1
厦门卫视,http://39.134.100.75/ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/3.m3u8
厦门卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/1.m3u8




CCTV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/1.m3u8

CCTV2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/1.m3u8

CCTV3,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227055/1.m3u8

CCTV4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8

CCTV5,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227170/1.m3u8

CCTV6,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227137/1.m3u8

CCTV7,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/1.m3u8

CCTV8,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227174/1.m3u8

CCTV9,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/1.m3u8

CCTV10,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/1.m3u8

CCTV11,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8

